Category,S.No,"Layout(Portrait-0,Landscape-1)","Gender(Male-0,Female-1,Both-2,None-3)","Language(Urdu-0,English-1,Both-2)","Size(Small-0,Medium-1,Large-2)","Crowded(Yes-1,No-0)","Visibility(Yes-1,No-0)","Contacts Details(Yes-1,No-0)","Discount((1-40)-0,(41-60)-1,(61-100)-2,(No Discount)-3)","Urgency(Yes-1,No-0)","Genre(Emotional-0,Funny-1,None-2)","Class Label(LV=0,V=1,MoreV=2,MostV=3)"
Food,1,1,1,1,1,0,0,0,3,0,2,0
Food,2,0,3,1,2,0,1,0,3,0,2,2
Food,3,0,1,1,2,0,1,1,3,0,2,3
Food,4,0,3,1,2,0,1,1,0,0,2,1
Food,5,1,3,1,2,0,1,1,3,0,2,3
Food,6,1,2,2,1,0,1,0,3,0,2,1
Food,7,1,3,1,1,0,1,0,3,0,2,1
Food,8,1,2,1,1,0,1,0,3,0,2,0
Food,9,0,3,1,0,0,1,0,3,0,2,0
Food,10,1,2,1,1,0,1,0,3,0,1,1
Food,11,1,1,1,2,0,1,0,1,0,1,2
Food,12,1,2,0,0,0,1,0,3,0,1,0
Food,13,1,1,1,2,0,0,0,3,0,2,0
Food,14,0,3,1,2,0,1,0,3,0,1,1
Food,15,1,3,0,2,0,1,0,3,0,2,0
Food,16,1,3,1,1,0,0,0,3,0,2,0
Food,17,1,2,1,1,0,0,0,3,0,1,0
Food,18,1,2,1,0,0,1,0,3,0,1,1
Food,19,1,3,1,0,0,0,0,3,0,2,0
Food,20,1,1,1,2,0,1,0,3,0,2,2
Food,21,1,3,0,2,0,1,0,3,0,2,2
Food,22,1,2,0,1,0,0,0,3,0,2,0
Food,23,0,1,2,1,0,1,0,3,0,2,1
Food,24,1,0,1,0,0,0,0,3,0,2,0
Food,25,1,2,1,1,0,1,0,3,0,2,1
Food,26,1,3,1,1,0,1,1,3,0,2,3
Food,27,1,0,2,2,0,1,0,3,0,0,1
Food,28,1,3,1,0,0,0,0,3,0,2,0
Food,29,1,3,1,0,0,0,0,3,0,2,0
Food,30,1,3,0,0,0,0,0,3,0,2,0
Food,31,0,3,1,2,0,1,1,3,0,2,2
Food,32,1,3,1,0,0,1,0,3,0,2,0
Food,33,1,0,1,1,0,0,0,3,0,2,0
Food,34,1,2,1,1,0,1,0,3,0,0,2
Food,35,0,2,1,0,0,1,0,3,0,2,0
Food,36,1,0,2,1,0,0,0,3,0,2,1
Food,37,1,3,1,0,0,0,1,3,0,2,0
Food,38,1,2,2,1,1,0,1,3,0,2,1
Food,39,1,0,2,2,0,0,0,3,0,2,0
Food,40,1,3,1,2,0,1,1,3,0,2,3
Food,41,1,3,2,1,0,0,1,3,0,2,2
Food,42,1,3,1,2,0,0,0,3,0,2,0
Food,43,1,3,1,1,0,1,0,3,0,2,1
Food,44,0,3,2,0,0,0,0,3,0,2,0
